CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,AÑO
15,México,15014,Atlacomulco,76750,13.16,-,5.33,3.32,52.06,11.02,65.33,56.16,-0.668,Medio,2000
15,México,15108,Tultepec,75996,5.59,-,0.32,3.05,-,-,-,-,-1.341,Muy bajo,1995
15,México,15024,Cuautitlón,75836,3.14,-,0.15,0.38,35.76,1.36,14.11,46.1,-1.818,Muy bajo,2000
15,México,15076,San Mateo Atenco,75511,2.3,0.31,0.21,6.68,25.81,0.65,6.46,38.95,-1.43,Muy bajo,2015
15,México,15082,Tejupilco,74985,31.32,57.14,42.89,44.46,68.01,48.7,71.14,72.68,0.369,Alto,1990
15,México,15047,Jiquipilco,74314,7.83,5.96,1.29,2.66,37.75,4.26,92.53,48.55,-0.305,Medio,2015
15,México,15114,Villa Victoria,74043,26.26,-,22.16,58.48,69.39,34.84,100,60.44,1.076,Muy alto,2000
15,México,15091,Teoloyucón,73696,5.2,1.07,0.4,1.82,47.11,3.86,9.67,37.41,-1.455,Muy bajo,2005
15,México,15076,San Mateo Atenco,72579,3.46,1.1,0.69,22.04,39.57,2.54,6.46,36.92,-1.336,Muy bajo,2010
15,México,15045,Jilotepec,71624,9.23,27.56,5.71,14.42,51.16,5.8,85.32,53.49,-0.372,Medio,2005
15,México,15120,Zumpango,71413,10.88,17.88,3.02,4.26,66.81,9.26,31.11,59.97,-1.272,Bajo,1990
15,México,15029,Chicoloapan,71351,6.24,-,0.23,2.58,-,-,-,-,-1.1,Bajo,1995
15,México,15082,Tejupilco,71077,15.45,18.11,2.86,31.57,44.53,10.96,63.94,56.02,0.107,Medio,2010
15,México,15101,Tianguistenco,70682,4.89,2.52,0.99,2.26,47.39,9.41,40.1,52.05,-0.886,Bajo,2010
15,México,15087,Temoaya,69306,17.32,-,3.59,1.16,69.1,38.03,84.79,70.74,0.182,Alto,2000
15,México,15047,Jiquipilco,69031,11.74,18.45,2.67,2.12,50.28,9.82,92.53,54.32,-0.082,Medio,2010
15,México,15090,Tenango del Valle,68669,9.48,3.55,1.74,5.29,48.88,12.75,37.68,50.76,-0.901,Bajo,2005
15,México,15045,Jilotepec,68336,11.31,-,9.1,17.35,54.68,9.54,84.69,64.97,-0.258,Medio,2000
15,México,15113,Villa Guerrero,67929,8.05,4.34,1.16,4.1,40.73,5.52,84.15,59.11,-0.073,Medio,2015
15,México,15095,Tepotzotlón,67724,4.97,3.41,0.74,8.53,39.78,3.47,17.42,36.39,-1.478,Muy bajo,2005
15,México,15067,Otzolotepec,67611,11.48,14.86,0.93,1.97,56.82,18.56,76.98,45.11,-0.551,Medio,2005
15,México,15051,Lerma,66912,12.87,22.36,3.56,10.38,62.82,16.2,54.64,59.54,-1.153,Bajo,1990
15,México,15076,San Mateo Atenco,66740,4.79,1.79,0.81,27.29,44.13,4.47,5.07,42.7,-1.323,Muy bajo,2005
15,México,15091,Teoloyucón,66556,5.81,-,0.78,1.74,52.31,5.45,10.09,45.44,-1.476,Muy bajo,2000
15,México,15091,Teoloyucan,66518,2.52,0.27,0.09,1.39,28.54,1.14,8.64,40.86,-1.388,Muy bajo,2015
15,México,15062,Ocoyoacac,66190,3.31,0.51,0.35,3.78,26.61,1.49,43.44,37.85,-1.23,Muy bajo,2015
15,México,15001,Acambay de Ruíz Castañeda,66034,10.07,19.52,2.69,14.95,38.47,5.82,100,60.97,0.38,Alto,2015
15,México,15110,Valle de Bravo,65703,7.02,5.04,1.51,5.08,28.19,4.42,49.52,34.61,-0.789,Bajo,2015
15,México,15048,Jocotitlón,65291,5.76,7.25,0.86,5.44,32.5,2.64,59.72,53.66,-0.615,Bajo,2015
15,México,15090,Tenango Del Valle,65119,12.24,-,2.55,6.42,57.37,20.06,54.68,61.67,-0.713,Bajo,2000
15,México,15014,Atlacomulco,65018,15.25,-,5.6,8.32,-,-,-,-,-0.663,Medio,1995
15,México,15088,Tenancingo,64753,10.53,-,1.11,15.32,-,-,-,-,-0.622,Medio,1995
15,México,15101,Tianguistenco,64365,6.13,4.22,0.94,2.65,52.48,13.69,41.1,49.71,-0.992,Bajo,2005
15,México,15114,Villa Victoria,63978,30.22,-,29.24,56.71,-,-,-,-,0.805,Alto,1995
15,México,15085,Temascalcingo,63721,11.06,11.37,2.25,4.79,33.44,3.27,68.65,59.02,-0.093,Medio,2015
15,México,15091,Teoloyucón,63115,3.83,0.58,0.23,0.61,42.12,2.85,8.64,32.5,-1.456,Muy bajo,2010
15,México,15085,Temascalcingo,62695,15.4,22.72,2.4,5.38,46.5,8.68,68.65,68.5,0.102,Medio,2010
15,México,15082,Tejupilco,62547,20.02,23.38,3.78,32.81,50.37,14.7,64.76,45.06,-0.101,Medio,2005
15,México,15011,Atenco,62392,2.35,0.06,0.26,6.95,36.85,2.69,38.23,44.4,-1.009,Bajo,2015
15,México,15095,Tepotzotlón,62280,5.57,-,0.9,4.65,45.48,3.52,16.22,44.2,-1.542,Muy bajo,2000
15,México,15085,Temascalcingo,61974,19.78,-,5.33,10.78,58.69,20.47,70.74,67.53,0.022,Alto,2000
15,México,15062,Ocoyoacac,61805,4,1.05,0.93,3.58,40.27,3.92,43.44,28.16,-1.334,Muy bajo,2010
15,México,15045,Jilotepec,61802,11.93,-,13.71,27.02,-,-,-,-,-0.325,Medio,1995
15,México,15110,Valle de Bravo,61599,8.38,6.72,2.13,4.46,43.83,8,49.52,36.29,-0.779,Bajo,2010
15,México,15002,Acolman,61250,4.48,-,0.77,4.13,49.87,3.45,41.01,49.08,-1.408,Muy bajo,2000
15,México,15048,Jocotitlón,61204,7.33,11.99,2.44,8.21,43.82,5.46,59.72,53.85,-0.592,Medio,2010
15,México,15001,Acambay,60918,13.34,30.56,4.19,18.87,48.07,5.73,100,61.28,0.303,Medio,2010
15,México,15087,Temoaya,60851,21.85,-,3.31,9.47,-,-,-,-,-0.026,Medio,1995
15,México,15088,Tenancingo,60300,14.44,29.1,6.98,27.4,69.32,29.78,58.92,70.01,-0.643,Bajo,1990
15,México,15113,Villa Guerrero,59991,9.06,9.42,2.27,8.22,50.11,11.56,84.15,52.7,-0.152,Medio,2010
15,México,15047,Jiquipilco,59969,15.22,30.74,2.87,2.77,55.65,21.33,100,58.6,-0.028,Alto,2005
15,México,15035,Huehuetoca,59721,3.79,0.74,0.41,2.59,46.3,2.84,37.79,34.56,-1.452,Muy bajo,2005
15,México,15076,San Mateo Atenco,59647,5.88,-,1.45,24.21,49.33,5.98,3.7,51.87,-1.356,Muy bajo,2000
15,México,15085,Temascalcingo,59140,23.62,-,6.6,19.11,-,-,-,-,-0.039,Medio,1995
15,México,15114,Villa Victoria,58566,35.39,82.02,45.74,71.14,75.83,50.46,100,73.66,1.027,Alto,1990
15,México,15001,Acambay,58389,20.09,-,9.91,20.91,56,21.47,91.07,75.49,0.308,Alto,2000
15,México,15101,Tianguistenco,58381,7.15,-,1.53,4.11,57.48,15.55,39.36,60.39,-1.003,Bajo,2000
15,México,15085,Temascalcingo,58169,17.29,30.96,2.55,9.8,54.02,16.44,71.33,55.59,-0.091,Medio,2005
15,México,15067,Otzolotepec,57583,13.98,-,1.52,2.49,61.34,22.49,71.44,54.8,-0.537,Medio,2000
15,México,15110,Valle De Bravo,57375,11.95,-,6.12,7.54,52.66,15.3,44.37,55.95,-0.733,Bajo,2000
15,México,15024,Cuautitlón,57373,4.14,-,0.16,1.43,-,-,-,-,-1.598,Muy bajo,1995
15,México,15029,Chicoloapan,57306,8.07,6.27,1.86,4.64,70.78,8.53,0,65.23,-1.442,Bajo,1990
15,México,15053,Melchor Ocampo,57152,2.19,0.07,0.15,1.21,31.9,2.97,23.17,31.02,-1.35,Muy bajo,2015
15,México,15092,Teotihuacón,56993,2.51,0.22,0.09,3.5,27.85,1.47,35.68,37.54,-1.29,Muy bajo,2015
15,México,15001,Acambay,56849,16.62,40.76,4.77,19.01,54.14,18.72,100,62.14,0.248,Alto,2005
15,México,15047,Jiquipilco,56614,19.28,-,5.32,8.48,56.25,28.32,88.79,71.18,0.092,Alto,2000
15,México,15018,Calimaya,56574,3.68,0.2,0.17,0.9,25.7,1.99,40.03,34.22,-1.319,Muy bajo,2015
15,México,15011,Atenco,56243,3.46,0.55,0.74,5.74,48.34,5.56,38.23,40.64,-1.11,Bajo,2010
15,México,15048,Jocotitlón,55403,8.73,18.49,2.09,6.16,49.4,7.99,66.83,50.58,-0.712,Bajo,2005
15,México,15090,Tenango Del Valle,54789,12.47,-,2.2,8.8,-,-,-,-,-0.716,Medio,1995
15,México,15002,Acolman,54468,5.86,-,0.82,5.87,-,-,-,-,-1.256,Bajo,1995
15,México,15091,Teoloyucón,54454,6.82,-,0.67,4.25,-,-,-,-,-0.947,Bajo,1995
15,México,15095,Tepotzotlón,54419,6.07,-,1.42,7.31,-,-,-,-,-1.254,Bajo,1995
15,México,15062,Ocoyoacac,54224,5.4,1.77,0.82,3.67,45.37,4.03,40.9,38.77,-1.317,Muy bajo,2005
15,México,15076,San Mateo Atenco,54089,6.88,-,0.64,12.98,-,-,-,-,-1.222,Bajo,1995
15,México,15014,Atlacomulco,54067,19.55,50.01,9.19,15.33,64.53,24.75,75.08,64.06,-0.559,Bajo,1990
15,México,15092,Teotihuacón,53010,3.47,0.79,0.63,9.23,40.75,2.79,35.68,33.3,-1.298,Muy bajo,2010
15,México,15110,Valle de Bravo,52902,9.91,10,2.69,5.16,47.22,11.51,47.71,46.06,-0.807,Bajo,2005
15,México,15001,Acambay,52662,22.25,-,10.49,35.71,-,-,-,-,0.243,Medio,1995
15,México,15111,Villa de Allende,52641,11.74,11.16,3.92,10.02,43.22,6.12,100,46.43,0.308,Alto,2015
15,México,15045,Jilotepec,52609,15.6,65.08,23.17,42.59,63.4,20.77,84.4,77.06,-0.097,Medio,1990
15,México,15113,Villa Guerrero,52090,10.8,14.61,1.52,9.54,53.86,22.39,83.8,58.38,-0.213,Medio,2005
15,México,15048,Jocotitlón,51979,10.35,-,5.04,5.65,54.47,7.89,77.16,61.44,-0.631,Medio,2000
15,México,15115,Xonacatlón,51646,4.09,0.83,0.34,1.63,29.56,3.12,32.36,35.58,-1.168,Muy bajo,2015
15,México,15047,Jiquipilco,51447,20.6,-,6.04,15.52,-,-,-,-,-0.129,Medio,1995
15,México,15085,Temascalcingo,51269,26.59,70.49,12.14,28.44,70.11,36.06,75.52,71.14,0.081,Alto,1990
15,México,15101,Tianguistenco,51149,9.17,-,1.31,4.67,-,-,-,-,-0.821,Bajo,1995
15,México,15009,Amecameca,50904,2.85,0.27,0.14,1.91,33.7,4,34.56,46.94,-1.08,Muy bajo,2015
15,México,15113,Villa Guerrero,50829,12.65,-,4.19,13.99,59.17,28.86,83.62,70.93,-0.125,Medio,2000
15,México,15053,Melchor Ocampo,50240,2.84,0.39,0.48,5.44,44.36,4.08,23.17,31.67,-1.356,Muy bajo,2010
15,México,15062,Ocoyoacac,49643,6.28,-,1.33,2.48,52.03,5.32,39.47,47.1,-1.344,Muy bajo,2000
15,México,15087,Temoaya,49427,23.74,64.31,11.09,21.95,74.09,50.45,100,68.23,0.202,Alto,1990
15,México,15067,Otzolotepec,49264,17.79,-,1.93,6.44,-,-,-,-,-0.604,Medio,1995
15,México,15003,Aculco,49026,9.16,19.72,3.19,9.06,38.53,2.9,100,55.54,0.197,Alto,2015
15,México,15024,Cuautitlón,48858,5.26,3.57,2.19,2.75,52.24,2.72,15.73,63.7,-1.805,Muy bajo,1990
15,México,15009,Amecameca,48421,3.62,0.66,0.77,0.82,45.33,8.89,34.56,39.76,-1.161,Bajo,2010
15,México,15009,Amecameca,48363,4.71,0.62,0.59,0.49,51.52,13.1,35.03,46.58,-1.171,Bajo,2005
15,México,15111,Villa de Allende,47709,15.3,23.29,5.64,17.14,60.93,8.16,100,60.79,0.543,Alto,2010
15,México,15001,Acambay,47517,26.47,77.14,21.91,51.3,67.93,42.48,100,77.31,0.46,Alto,1990
15,México,15110,Valle De Bravo,47502,12.7,-,8.12,10.15,-,-,-,-,-0.921,Bajo,1995
15,México,15103,Tlalmanalco,47390,1.81,0.25,0.12,1.04,30.78,3.26,22.7,37.86,-1.334,Muy bajo,2015
15,México,15108,Tultepec,47323,7.41,8.54,2.72,5.12,62.44,7.03,5.77,59.82,-1.601,Muy bajo,1990
15,México,15112,Villa del Carbón,47151,8.54,14.16,2.99,4.1,41.02,4.35,80.44,46.99,-0.067,Medio,2015
15,México,15018,Calimaya,47033,5.31,1.36,0.95,1.33,42.91,6.53,40.03,35.26,-1.173,Bajo,2010
15,México,15092,Teotihuacón,46779,4.14,1.09,0.41,9.46,45.69,4.11,53.87,40.98,-1.25,Muy bajo,2005
15,México,15115,Xonacatlón,46331,6.38,3,0.32,3.51,44.66,5.68,32.36,31.32,-1.147,Bajo,2010
15,México,15103,Tlalmanalco,46130,2.83,0.52,0.27,3.32,39.84,6.08,22.7,33.24,-1.429,Muy bajo,2010
15,México,15090,Tenango del Valle,45952,15.94,18,6.64,13.18,66.97,32.54,69.21,70.73,-0.742,Bajo,1990
15,México,15115,Xonacatlón,45274,7.5,6.26,0.69,3.2,51.12,9.06,39.4,43.21,-1.044,Bajo,2005
15,México,15009,Amecameca,45255,5.3,-,0.85,0.63,57.26,14.35,33.82,56.59,-1.196,Bajo,2000
15,México,15112,Villa del Carbón,44881,12.14,24.15,3.61,3.18,52.1,10.33,80.44,45.29,-0.061,Medio,2010
15,México,15003,Aculco,44823,11.28,33.24,5.99,6.55,49.83,8.06,100,57.89,0.238,Medio,2010
15,México,15092,Teotihuacón,44653,5.25,-,0.65,7.75,51.55,3.74,54.65,49.78,-1.275,Bajo,2000
15,México,15047,Jiquipilco,44012,26.55,64.69,16.18,26.73,64.4,32.99,85.33,74,0.016,Medio,1990
15,México,15048,Jocotitlón,43994,11.24,-,5.37,10.75,-,-,-,-,-0.563,Medio,1995
15,México,15103,Tlalmanalco,43930,3.15,0.76,0.25,6.03,43.56,7.7,21.73,35.94,-1.492,Muy bajo,2005
15,México,15036,Hueypoxtla,43784,6.73,3.03,0.43,2.47,36,2.2,36.97,41.53,-0.818,Bajo,2015
15,México,15062,Ocoyoacac,43670,7.64,-,0.73,4.5,-,-,-,-,-1.169,Bajo,1995
15,México,15113,Villa Guerrero,43283,14.08,-,3.97,20.27,-,-,-,-,-0.189,Medio,1995
15,México,15002,Acolman,43276,7.31,15.46,1.79,8.17,63.59,6.67,39.44,63.85,-1.391,Bajo,1990
15,México,15011,Atenco,42739,3.76,0.62,1.06,18.63,53.89,10.74,50.66,44.94,-1.024,Bajo,2005
15,México,15103,Tlalmanalco,42507,3.54,-,0.53,2.72,50.35,6.39,22.04,43.66,-1.558,Muy bajo,2000
15,México,15101,Tianguistenco,42448,10.49,20.44,3.99,9.94,69.84,24.99,37.17,67.4,-1.034,Bajo,1990
15,México,15091,Teoloyucón,41964,9.16,21.2,2.65,11.88,68.06,10.26,24.49,61.29,-1.263,Bajo,1990
15,México,15111,Villa de Allende,41938,18.58,31.91,11.77,25.9,66.86,28.68,100,55.07,0.593,Alto,2005
15,México,15076,San Mateo Atenco,41926,9.52,22.29,3.11,22.5,63.89,12.73,13.59,60.96,-1.314,Bajo,1990
15,México,15023,Coyotepec,41810,4.14,0.36,0.13,1.28,32.7,4.14,8.59,38.44,-1.215,Muy bajo,2015
15,México,15009,Amecameca,41671,5.71,-,0.87,2.14,-,-,-,-,-0.991,Bajo,1995
15,México,15115,Xonacatlón,41402,9.59,-,1.34,5.05,56.33,12.18,35.94,52.5,-1.029,Bajo,2000
15,México,15100,Tezoyuca,41333,2.98,0.06,0.34,38.85,36.28,2.84,5.95,38.54,-0.843,Bajo,2015
15,México,15003,Aculco,40492,13.42,41.74,9.95,8.25,54.05,11.26,100,60.2,0.121,Alto,2005
15,México,15067,Otzolotepec,40407,21.01,49.34,9.28,17.13,72.22,40.6,59.33,61.69,-0.401,Medio,1990
15,México,15111,Villa De Allende,40164,22.36,-,19.84,28.42,69.76,27.23,87.29,66.9,0.679,Alto,2000
15,México,15021,Coatepec Harinas,39897,9.93,10.6,1.41,5.51,38.12,5.09,80.79,60.83,0.018,Medio,2015
15,México,15036,Hueypoxtla,39864,8.15,8.09,0.31,1.69,47.62,4.08,36.97,43.46,-0.834,Bajo,2010
15,México,15059,Nextlalpan,39666,2.86,0.63,0.38,2.66,44.48,2.01,37.26,39.31,-0.979,Bajo,2015
15,México,15095,Tepotzotlón,39647,9.04,19.58,4.96,11.41,61.2,8.99,26.59,59.98,-1.377,Bajo,1990
15,México,15112,Villa del Carbón,39587,15.61,32.29,5.38,4.01,58.54,17.32,79.72,55.55,-0.05,Alto,2005
15,México,15023,Coyotepec,39341,6.72,2.44,0.52,2.71,49.65,10.27,8.42,38.04,-1.309,Muy bajo,2005
15,México,15113,Villa Guerrero,39233,15.32,44.69,13.6,28.57,69.16,42.03,82.56,80.84,-0.073,Medio,1990
15,México,15092,Teotihuacón,39183,5.28,-,0.46,4.54,-,-,-,-,-1.253,Bajo,1995
15,México,15048,Jocotitlón,39077,16.22,57.49,10.71,23.11,65.58,20.07,86.55,74.91,-0.36,Medio,1990
15,México,15023,Coyotepec,39030,5.11,0.86,0.77,1.06,46.91,9.18,8.59,39.8,-1.173,Bajo,2010
15,México,15003,Aculco,38827,16.78,-,20.46,14.24,57.85,13.87,100,73.13,0.312,Alto,2000
15,México,15018,Calimaya,38770,7.23,3.17,0.79,1.62,51.32,10.17,58.64,45.96,-1.011,Bajo,2005
15,México,15084,Temascalapa,38622,3.97,1.23,0.26,3.99,35.89,2.14,50.57,45.52,-0.88,Bajo,2015
15,México,15035,Huehuetoca,38458,5.49,-,0.62,6.33,52.8,3.37,45.76,41.99,-1.372,Muy bajo,2000
15,México,15103,Tlalmanalco,38396,3.78,-,0.67,5.73,-,-,-,-,-1.341,Muy bajo,1995
15,México,15112,Villa Del Carbón,37993,18.76,-,9.9,10.4,62.4,22.03,80.05,67.49,0.159,Alto,2000
15,México,15053,Melchor Ocampo,37716,4.71,-,0.57,2.68,55.43,4.36,17.69,45.35,-1.457,Muy bajo,2000
15,México,15053,Melchor Ocampo,37706,3.52,0.41,0.08,9.7,45.32,6.54,19.46,37.33,-1.421,Muy bajo,2005
15,México,15062,Ocoyoacac,37395,10.75,14.21,4.49,6.58,69.91,13.68,35.79,59.76,-1.246,Bajo,1990
15,México,15064,El Oro,37343,7.63,8.84,0.66,7.17,36.52,3.17,83.23,49.78,-0.366,Medio,2015
15,México,15111,Villa De Allende,37105,25.04,-,28.8,46.82,-,-,-,-,0.556,Alto,1995
15,México,15096,Tequixquiac,36902,2.81,1.43,0.31,10.85,26.06,1.49,14.05,33.85,-1.247,Muy bajo,2015
15,México,15036,Hueypoxtla,36512,9.84,16.39,0.25,0.47,53.22,5.68,36.89,48.95,-0.826,Bajo,2005
15,México,15009,Amecameca,36321,7.99,7.53,2.89,3.71,66.66,24.17,30.14,66.63,-1.286,Bajo,1990
15,México,15021,Coatepec Harinas,36174,12.19,17.73,2.46,11.6,48.14,10.69,80.79,52.15,0.006,Medio,2010
15,México,15115,Xonacatlón,36141,11.7,-,0.88,3.91,-,-,-,-,-0.983,Bajo,1995
15,México,15110,Valle de Bravo,36135,16.36,31.64,15.55,18.73,62.07,24.13,42.45,57.16,-0.873,Bajo,1990
15,México,15105,Tlatlaya,36100,26.77,-,6,51.59,53.09,26.5,100,65.55,0.496,Alto,2000
15,México,15084,Temascalapa,35987,5.22,3.1,2.28,9.36,47.2,4.43,50.57,41.65,-0.87,Bajo,2010
15,México,15040,Ixtapan de la Sal,35552,7.36,4.84,0.59,11.63,33.38,3.95,47.41,48.69,-0.524,Bajo,2015
15,México,15019,Capulhuac,35495,2.3,0.43,0.12,1.74,28.36,2.3,39.13,40.82,-1.259,Muy bajo,2015
15,México,15023,Coyotepec,35358,7.94,-,1.43,3.19,58.57,12.23,10.56,46.21,-1.264,Bajo,2000
15,México,15065,Otumba,35274,4.19,1.13,0.33,1.53,29.44,1.26,70.51,38.65,-1.009,Bajo,2015
15,México,15100,Tezoyuca,35199,3.52,0.55,1.09,35.8,50.24,6.39,5.95,37.85,-1.005,Bajo,2010
15,México,15018,Calimaya,35196,9.35,-,2.49,1.9,57.06,13.55,41.45,55.84,-1.049,Bajo,2000
15,México,15021,Coatepec Harinas,35068,18.34,-,6.66,17.31,58.31,23.15,81.44,76.47,0.168,Alto,2000
15,México,15105,Tlatlaya,34937,17.31,14.96,0.75,9.36,32.71,8.1,100,52.7,0.315,Alto,2015
15,México,15063,Ocuilan,34485,8.1,3.65,0.8,7.09,40.38,5.54,100,61.17,-0.049,Medio,2015
15,México,15064,El Oro,34446,10.67,20.08,2.35,8.87,48.37,10.92,83.23,55.53,-0.124,Medio,2010
15,México,15011,Atenco,34435,4.42,-,2.15,8.57,58.05,5.56,42.06,54.59,-1.195,Bajo,2000
15,México,15003,Aculco,34378,18.72,-,26.39,32.8,-,-,-,-,0.278,Medio,1995
15,México,15059,Nextlalpan,34374,3.65,0.56,0.66,8.91,51.23,4.81,42.15,30.82,-1.117,Bajo,2010
15,México,15065,Otumba,34232,5.74,4.66,0.75,3.26,45.67,4.85,70.5,45.92,-0.813,Bajo,2010
15,México,15019,Capulhuac,34101,3.28,0.82,0.42,1.59,43.31,4.36,39.13,36.25,-1.272,Muy bajo,2010
15,México,15032,Donato Guerra,34000,13.43,14.01,5.83,15.62,46.98,12.71,100,49.46,0.789,Alto,2015
15,México,15105,Tlatlaya,33914,34.21,77.38,53.22,67.64,66.63,67.07,100,67.29,0.833,Alto,1990
15,México,15096,Tequixquiac,33907,3.86,2.79,0.81,8.8,37.75,2.35,14.05,34.95,-1.305,Muy bajo,2010
15,México,15040,Ixtapan de la Sal,33541,9.31,8.63,1.14,22.92,42.39,6.51,47.41,49.09,-0.539,Medio,2010
15,México,15053,Melchor Ocampo,33455,5.41,-,0.73,5.41,-,-,-,-,-1.25,Bajo,1995
15,México,15032,Donato Guerra,33455,16.88,23.85,8.08,18.53,60.68,15.93,100,69.31,0.9,Alto,2010
15,México,15036,Hueypoxtla,33343,12.56,-,1.01,1.06,59.22,7.04,38.07,59.46,-0.706,Bajo,2000
15,México,15105,Tlatlaya,33308,25.17,35.92,1.48,63.95,48.48,28.65,100,53.96,0.59,Alto,2005
15,México,15105,Tlatlaya,33170,30.12,-,17.53,55.34,-,-,-,-,0.705,Alto,1995
15,México,15084,Temascalapa,33063,6.33,5.84,2.91,7.48,54.92,5.72,51.63,48.93,-0.882,Bajo,2005
15,México,15105,Tlatlaya,32997,21.25,23.78,1.03,62.34,42.15,5.94,100,68.69,0.72,Alto,2010
15,México,15103,Tlalmanalco,32984,5.04,8.87,2.06,9.39,60.77,14.93,19.75,60.52,-1.578,Bajo,1990
15,México,15086,Temascaltepec,32870,12.46,28.37,2.46,8.91,52.66,6.07,100,63.57,0.234,Medio,2010
15,México,15035,Huehuetoca,32718,6.02,-,0.2,8.97,-,-,-,-,-1.185,Bajo,1995
15,México,15018,Calimaya,31902,10.72,-,1.91,2.07,-,-,-,-,-0.879,Bajo,1995
15,México,15021,Coatepec Harinas,31860,15.26,22.96,2.23,8.55,53.36,17.64,80.59,62.94,-0.051,Alto,2005
15,México,15064,El Oro,31847,11.62,29.28,2.62,13.02,54.1,13.67,81.8,54.96,-0.26,Medio,2005
15,México,15063,Ocuilan,31803,10.47,9.18,1.01,3.54,52.69,13.13,100,66.47,0.026,Medio,2010
15,México,15086,Temascaltepec,31631,10.52,19.61,2.49,6.45,41.66,4.32,100,59.49,0.293,Alto,2015
15,México,15044,Jaltenco,31629,2.9,-,0.34,13.32,39.1,1.74,2.99,39.78,-1.793,Muy bajo,2000
15,México,15086,Temascaltepec,31192,16.68,-,8.12,19.16,63.6,33.4,100,77.21,0.431,Alto,2000
15,México,15036,Hueypoxtla,31124,15.31,-,0.56,10.66,-,-,-,-,-0.431,Medio,1995
15,México,15096,Tequixquiac,31080,5.21,4.85,0.39,4.92,43.27,2.87,13.44,42.68,-1.321,Muy bajo,2005
15,México,15015,Atlautla,30945,5.72,0.57,0.39,5.38,38.17,10.27,35.98,61.38,-0.483,Medio,2015
15,México,15019,Capulhuac,30838,4.21,2.01,0.35,1.5,46.22,5.35,38.88,42.75,-1.325,Muy bajo,2005
15,México,15112,Villa Del Carbón,30726,24.25,-,12.14,21.91,-,-,-,-,0.046,Medio,1995
15,México,15093,Tepetlaoxtoc,30680,3.08,2.34,0.45,2.96,34.31,1.9,57.47,35.72,-1.017,Bajo,2015
15,México,15023,Coyotepec,30619,8.56,-,1.95,6.89,-,-,-,-,-0.888,Bajo,1995
15,México,15040,Ixtapan De La Sal,30529,12.42,-,3.39,22.68,52.23,15.18,48.06,63.61,-0.543,Medio,2000
15,México,15092,Teotihuacón,30486,7.39,17.34,2.06,15.71,65.54,7.59,54.85,63.55,-1.253,Bajo,1990
15,México,15064,El Oro,30411,16.34,-,6.13,18.78,53.08,18.55,79.9,66.76,-0.141,Medio,2000
15,México,15021,Coatepec Harinas,30408,22.76,-,13.21,27.13,-,-,-,-,0.143,Medio,1995
15,México,15086,Temascaltepec,30336,15.37,44.31,3.53,11.29,59.18,30.01,100,63.56,0.345,Alto,2005
15,México,15008,Amatepec,30141,24.8,-,10.6,53.7,49.19,20.04,100,71.45,0.428,Alto,2000
15,México,15040,Ixtapan de la Sal,30073,10.83,14.02,1.25,24.25,46.84,12.95,48.85,52.36,-0.566,Medio,2005
15,México,15065,Otumba,29873,6.97,9.02,1.24,4.96,51.18,7.73,69.06,56.29,-0.765,Bajo,2005
15,México,15056,Morelos,29862,12.59,16.73,3.35,9.64,38.95,6.35,100,63.33,0.424,Alto,2015
15,México,15032,Donato Guerra,29621,22.47,31.11,8.66,18.3,65.45,34.15,100,59.59,0.701,Alto,2005
15,México,15043,Xalatlaco,29572,3.46,1.96,0.84,5.64,41.73,5.15,44,48.27,-0.694,Bajo,2015
15,México,15064,El Oro,29466,16.93,-,8.85,26.19,-,-,-,-,-0.168,Medio,1995
15,México,15010,Apaxco,29347,3.4,1.06,0.39,2.54,25.1,0.89,49.73,33.96,-1.208,Muy bajo,2015
15,México,15084,Temascalapa,29307,7.87,-,3.04,13.1,59.01,7.53,82.42,59.44,-0.717,Bajo,2000
15,México,15003,Aculco,29174,24.23,73.05,40.18,42.95,66.99,35.18,100,80.36,0.445,Alto,1990
15,México,15028,Chiautla,29159,2.2,0.41,0.08,4.7,32.02,1.98,62.43,43.38,-1.04,Bajo,2015
15,México,15068,Ozumba,29114,3.1,0.75,0.35,5.44,35.94,5.11,38.62,55.39,-0.811,Bajo,2015
15,México,15065,Otumba,29097,8.8,-,3.13,4.21,57.43,10.33,69.99,68.38,-0.659,Medio,2000
15,México,15115,Xonacatlón,28837,15.05,27.98,4.41,9.34,68.03,27.21,32.02,55.82,-1.032,Bajo,1990
15,México,15019,Capulhuac,28808,5.44,-,0.63,0.57,53.37,7.64,36.01,51.94,-1.333,Muy bajo,2000
15,México,15008,Amatepec,28807,23.31,-,30.25,59.97,-,-,-,-,0.654,Alto,1995
15,México,15111,Villa de Allende,28743,28.83,75.34,47.53,56.19,74.6,33.33,100,70.22,0.656,Alto,1990
15,México,15056,Morelos,28426,16.52,22.83,5.72,10.08,50.32,8.57,100,64.13,0.382,Medio,2010
15,México,15026,Chapa de Mota,28289,9.07,13.71,1.94,4.61,39.04,3,100,57.61,0.013,Medio,2015
15,México,15123,Luvianos,28213,24.61,33.58,5.39,47.26,51.12,22.74,71.13,45.06,0.371,Alto,2005
15,México,15008,Amatepec,28185,30.79,72.03,55.93,64.63,63.2,58.28,100,78.2,0.79,Alto,1990
